,OA,Value_band,Banding Description,[mean] - Value,[median] - Value,[total] - Value
350,E00023785,20.0,£701k - £800K,855500.0,843000.0,47052500.0
351,E00023786,18.0,£501K - £600K,703500.0,657000.0,48716500.0
352,E00023787,14.0,£351K - £375K,550333.333,519000.0,9521000.0
353,E00023788,16.0,£401K - £450K,429500.0,421500.0,28776500.0
354,E00023789,11.0,£276K - £300K,371000.0,365750.0,16163500.0
355,E00023790,18.0,£501K - £600K,733400.0,636000.0,19361600.0
356,E00023791,15.0,£376K - £400K,377000.0,357000.0,21112000.0
357,E00023792,16.0,£1.25m - £1.5m,857000.0,738000.0,90743000.0
358,E00023793,17.0,£451K - £500K,666125.0,616000.0,11843750.0
359,E00023794,16.0,£401K - £450K,427000.0,407000.0,25445000.0
360,E00023795,14.0,£351K - £375K,478000.0,465333.333,29509333.333
361,E00023796,24.0,£1.25m - £1.5m,1285000.0,1123000.0,54919666.667
362,E00023797,18.0,£501K - £600K,544333.333,508666.667,25826333.333
363,E00023798,18.0,£501K - £600K,745500.0,629000.0,24877500.0
364,E00023799,22.0,£900K - £1m,965000.0,932750.0,26222500.0
365,E00023800,23.0,£1m - £1.25m,1665500.0,1318750.0,50685250.0
366,E00023801,23.0,£1m - £1.25m,1238250.0,1028250.0,44295750.0
367,E00023802,20.0,£1.25m - £1.5m,1147125.0,1109250.0,12965500.0
368,E00023803,23.0,£1m - £1.25m,1109600.0,1080600.0,25953600.0
369,E00023804,18.0,£501K - £600K,492000.0,458500.0,18296750.0
370,E00023805,24.0,£1.25m - £1.5m,2635000.0,2289857.143,38810857.143
371,E00023806,23.0,£1m - £1.25m,1023500.0,998750.0,28878250.0
372,E00023807,23.0,£1m - £1.25m,1093333.333,1081333.333,37665000.0
373,E00023808,21.0,£800K - £900K,862500.0,837250.0,28503750.0
374,E00023809,24.0,£1.25m - £1.5m,1171500.0,1104750.0,43902000.0
